binomial,genus,family,fossilArea,Area,taxon
Agalychnis buckleyi,Agalychnis,PHYLLOMEDUSIDAE,0,58778.22453,Amphibian
Agalychnis callidryas,Agalychnis,PHYLLOMEDUSIDAE,101326.4205,501192.7601,Amphibian
Agalychnis dacnicolor,Agalychnis,PHYLLOMEDUSIDAE,19579.9924,149977.0872,Amphibian
Agalychnis danieli,Agalychnis,PHYLLOMEDUSIDAE,0,10.32554406,Amphibian
Agalychnis granulosa,Agalychnis,PHYLLOMEDUSIDAE,0.637781429,19035.40644,Amphibian
Agalychnis hulli,Agalychnis,PHYLLOMEDUSIDAE,0,35320.30283,Amphibian
Agalychnis lemur,Agalychnis,PHYLLOMEDUSIDAE,3.031806534,16484.50245,Amphibian
Agalychnis medinae,Agalychnis,PHYLLOMEDUSIDAE,0,666.7584311,Amphibian
Agalychnis moreletii,Agalychnis,PHYLLOMEDUSIDAE,721.0710586,59735.73056,Amphibian
Agalychnis psilopygion,Agalychnis,PHYLLOMEDUSIDAE,1.194760428,18937.27958,Amphibian
Agalychnis saltator,Agalychnis,PHYLLOMEDUSIDAE,447.9679295,11425.66847,Amphibian
Agalychnis spurrelli,Agalychnis,PHYLLOMEDUSIDAE,9009.693458,132657.0831,Amphibian
Agalychnis terranova,Agalychnis,PHYLLOMEDUSIDAE,254.1565486,23753.89471,Amphibian
Aglyptodactylus australis,Aglyptodactylus,MANTELLIDAE,0,548.6987911,Amphibian
Aglyptodactylus chorus,Aglyptodactylus,MANTELLIDAE,233.6486303,5056.319716,Amphibian
Aglyptodactylus inguinalis,Aglyptodactylus,MANTELLIDAE,3733.342293,27273.72123,Amphibian
Aglyptodactylus laticeps,Aglyptodactylus,MANTELLIDAE,35.07942507,2021.951797,Amphibian
Aglyptodactylus madagascariensis,Aglyptodactylus,MANTELLIDAE,5508.640821,110606.6217,Amphibian
Aglyptodactylus securifer,Aglyptodactylus,MANTELLIDAE,15288.99011,116789.8189,Amphibian
Alcalus baluensis,Alcalus,CERATOBATRACHIDAE,3234.415557,240419.7475,Amphibian
Alcalus mariae,Alcalus,CERATOBATRACHIDAE,0,788.2559866,Amphibian
Alcalus rajae,Alcalus,CERATOBATRACHIDAE,0,2237.914162,Amphibian
Alcalus sariba,Alcalus,CERATOBATRACHIDAE,47.93360915,78.24926357,Amphibian
Alcalus tasanae,Alcalus,CERATOBATRACHIDAE,0.438286166,6143.946359,Amphibian
Alexteroon hypsiphonus,Alexteroon,HYPEROLIIDAE,5710.250721,528912.8424,Amphibian
Alexteroon jynx,Alexteroon,HYPEROLIIDAE,0,59.25721323,Amphibian
Alexteroon obstetricans,Alexteroon,HYPEROLIIDAE,741.7238545,284849.8794,Amphibian
Allobates alessandroi,Allobates,AROMOBATIDAE,0,1113.651335,Amphibian
Allobates algorei,Allobates,AROMOBATIDAE,0,5220.10933,Amphibian
Allobates amissibilis,Allobates,AROMOBATIDAE,0,141.6046974,Amphibian
Allobates bromelicola,Allobates,AROMOBATIDAE,0,14.03088267,Amphibian
Allobates brunneus,Allobates,AROMOBATIDAE,43374.66257,1913466.76,Amphibian
Allobates caeruleodactylus,Allobates,AROMOBATIDAE,0,1762.668713,Amphibian
Allobates caribe,Allobates,AROMOBATIDAE,0,9.253729015,Amphibian
Allobates cepedai,Allobates,AROMOBATIDAE,0,582.8564982,Amphibian
Allobates chalcopis,Allobates,AROMOBATIDAE,0,6.024099094,Amphibian
Allobates conspicuus,Allobates,AROMOBATIDAE,30829.82253,367763.9381,Amphibian
Allobates crombiei,Allobates,AROMOBATIDAE,29.6242939,12849.30153,Amphibian
Allobates femoralis,Allobates,AROMOBATIDAE,332115.5112,5607573.775,Amphibian
Allobates fratisenescus,Allobates,AROMOBATIDAE,0,140.5977445,Amphibian
Allobates fuscellus,Allobates,AROMOBATIDAE,0,673214.3947,Amphibian
Allobates gasconi,Allobates,AROMOBATIDAE,0,96786.86187,Amphibian
Allobates goianus,Allobates,AROMOBATIDAE,0,25693.92701,Amphibian
Allobates granti,Allobates,AROMOBATIDAE,0,33358.99011,Amphibian
Allobates humilis,Allobates,AROMOBATIDAE,0,522.8263725,Amphibian
Allobates ignotus,Allobates,AROMOBATIDAE,0,288.0095104,Amphibian
Allobates insperatus,Allobates,AROMOBATIDAE,0,74682.18532,Amphibian
Allobates juanii,Allobates,AROMOBATIDAE,9.425783563,945.2526962,Amphibian
Allobates kingsburyi,Allobates,AROMOBATIDAE,0,1428.029633,Amphibian
Allobates mandelorum,Allobates,AROMOBATIDAE,0,207.2806835,Amphibian
Allobates marchesianus,Allobates,AROMOBATIDAE,92941.14887,3381502.82,Amphibian
Allobates masniger,Allobates,AROMOBATIDAE,877.1530834,10388.52284,Amphibian
Allobates mcdiarmidi,Allobates,AROMOBATIDAE,0,20649.0258,Amphibian
Allobates melanolaemus,Allobates,AROMOBATIDAE,0,27127.97084,Amphibian
Allobates myersi,Allobates,AROMOBATIDAE,0,74288.22194,Amphibian
Allobates nidicola,Allobates,AROMOBATIDAE,0,13.53092315,Amphibian
Allobates niputidea,Allobates,AROMOBATIDAE,233.9949349,10771.62261,Amphibian
