"","id_no","binomial","presence","origin","seasonal","compiler","yrcompiled","citation","subspecies","subpop","source","island","tax_comm","dist_comm","generalisd","legend","kingdom","phylum","class","order_","family","genus","category","marine","terrestial","freshwater","SHAPE_Leng","SHAPE_Area"
"4154",41591,"Bdeogale crassicauda",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,NA,NA,NA,0,"Extant (resident)","ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","HERPESTIDAE","Bdeogale","LC","false","true","false",133.240275121,124.526206886
"4155",41591,"Bdeogale crassicauda",1,1,1,"IUCN",2016,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"Zanzibar",NA,NA,0,"Extant (resident)","ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","HERPESTIDAE","Bdeogale","LC","false","true","false",2.87526567555,0.127671878058
"4156",13704,"Monodon monoceros",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,NA,NA,NA,0,"Extant (resident)","ANIMALIA","CHORDATA","MAMMALIA","CETARTIODACTYLA","MONODONTIDAE","Monodon","LC","true","false","false",2612.86282617,1254.24998861
"4157",41428,"Episoriculus caudatus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,NA,NA,NA,0,"Extant (resident)","ANIMALIA","CHORDATA","MAMMALIA","EULIPOTYPHLA","SORICIDAE","Episoriculus","LC","false","true","false",45.5272320948,28.6586257537
"4158",96829156,"Cryptotis niausa",1,1,1,"IUCN SSC Small Mammal Specialist Group",2019,"IUCN SSC Small Mammal Specialist Group",NA,NA,NA,NA,NA,NA,0,"Extant (resident)","ANIMALIA","CHORDATA","MAMMALIA","EULIPOTYPHLA","SORICIDAE","Cryptotis","DD","false","true","false",2.72581833223,0.337373483217
"4159",20210,"Sigmodon alstoni",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,NA,NA,NA,0,"Extant (resident)","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","CRICETIDAE","Sigmodon","LC","false","true","false",121.497802647,68.6265366423
"4160",40525,"Antechinus minimus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"Tasmania",NA,NA,0,"Extant (resident)","ANIMALIA","CHORDATA","MAMMALIA","DASYUROMORPHIA","DASYURIDAE","Antechinus","LC","false","true","false",29.5754852167,6.90459786281
"4161",40525,"Antechinus minimus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,NA,NA,NA,0,"Extant (resident)","ANIMALIA","CHORDATA","MAMMALIA","DASYUROMORPHIA","DASYURIDAE","Antechinus","LC","false","true","false",14.630196532,1.00401563589
"4162",40525,"Antechinus minimus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"Cape Barren Island",NA,NA,0,"Extant (resident)","ANIMALIA","CHORDATA","MAMMALIA","DASYUROMORPHIA","DASYURIDAE","Antechinus","LC","false","true","false",1.52391286708,0.0492423055228
"4163",40525,"Antechinus minimus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"Sunday Island",NA,NA,0,"Extant (resident)","ANIMALIA","CHORDATA","MAMMALIA","DASYUROMORPHIA","DASYURIDAE","Antechinus","LC","false","true","false",0.199268612609,0.00122267787044
