FID,id_no,binomial,presence,origin,seasonal,compiler,yrcompiled,citation,subspecies,subpop,source,island,tax_comm,dist_comm,generalisd,legend,kingdom,phylum,class,order_,family,genus,category,marine,terrestial,freshwater,SHAPE_Leng,SHAPE_Area
4034,57638,Megophrys glandulosa,1,1,1,IUCN,2015,IUCN (International Union for Conservation of Nature) & Conservation International., , , , , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,MEGOPHRYIDAE,Megophrys,LC,false,true,true,17.6902142,7.290105904
4035,58022,Uperodon globulosus,1,1,1,IUCN,2008,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.", , , , , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,MICROHYLIDAE,Uperodon,LC,false,true,true,120.650893,138.3379364
4036,56567,Eleutherodactylus dolomedes,1,1,1,IUCN,2008,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.", , , , , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,ELEUTHERODACTYLIDAE,Eleutherodactylus,CR,false,true,false,0.105998169,0.000894079
4037,58982,Kurixalus bisacculus,1,1,1,IUCN,2008,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.", , , , , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RHACOPHORIDAE,Kurixalus,LC,false,true,true,21.90294393,6.858700899
4038,56755,Pristimantis melanogaster,1,1,1,Kelsey Neam,2017,"IUCN (International Union of Conservation for Nature), Conservation International & NatureServe.", , , , , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,NT,false,true,false,1.750221063,0.165707109
4039,125181973,Pristimantis puipui,1,1,1,Kelsey Neam,2018,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe", , , , , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,DD,false,true,false,0.105870344,0.000891915
4040,89183310,Noblella madreselva,1,1,1,Kelsey Neam,2017,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe", , , , , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Noblella,CR,false,true,false,0.103266407,0.000848579
4041,58456,Platymantis corrugatus,1,1,1,Kelsey Neam,2017,IUCN (International Union for Conservation of Nature) & Conservation International, , , , , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,CERATOBATRACHIDAE,Platymantis,LC,false,true,false,4.721167995,0.187367926
4042,58456,Platymantis corrugatus,1,1,1,Jennifer Luedtke,2018,IUCN (International Union for Conservation of Nature) & Conservation International, , , , , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,CERATOBATRACHIDAE,Platymantis,LC,false,true,false,1.750966692,0.053748058
4043,58456,Platymantis corrugatus,1,1,1,IUCN,2017,IUCN (International Union for Conservation of Nature) & Conservation International, , , , , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,CERATOBATRACHIDAE,Platymantis,LC,false,true,false,116.6730475,21.744892
