FID,id_no,binomial,presence,origin,seasonal,compiler,yrcompiled,citation,subspecies,subpop,source,island,tax_comm,dist_comm,generalisd,legend,kingdom,phylum,class,order_,family,genus,category,marine,terrestial,freshwater,SHAPE_Leng,SHAPE_Area
0,57264,Engystomops montubio,1,1,1,IUCN,2009,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.", , , , , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,LEPTODACTYLIDAE,Engystomops,LC,false,true,true,5.755237602,1.264392584
1,56133,Hyperolius ferreirai,1,1,1,IUCN,2014,"IUCN (International Union for Conservation of Nature), Conservation International", , , , , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYPEROLIIDAE,Hyperolius,DD,false,true,true,0.420328296,0.008667226
2,55856,Agalychnis medinae,4,1,1,Grisel Velasquez,2020,IUCN (International Union for the Conservation of Nature), , , , , , ,0,Possibly Extinct,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,PHYLLOMEDUSIDAE,Agalychnis,EN,false,true,true,0.37059995,0.002627657
3,55856,Agalychnis medinae,1,1,1,Grisel Velasquez,2020,IUCN (International Union for the Conservation of Nature), , , , , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,PHYLLOMEDUSIDAE,Agalychnis,EN,false,true,true,12.03777786,0.052402701
4,45536685,Telmatobius mendelsoni,4,1,1,Kelsey Neam,2017,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.", , , , , , ,0,Possibly Extinct,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,TELMATOBIIDAE,Telmatobius,CR,false,false,true,0.497784386,0.010477911
5,59422,Thorius omiltemi,1,1,1,Lauren Warr,2019,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.", , , , , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,CAUDATA,PLETHODONTIDAE,Thorius,EN,false,true,false,0.84257924,0.010135338
6,58517,Ptychadena perplicata,1,1,1,Evie J Morris,2013,"IUCN (International Union for Conservation of Nature), Conservation International.", , , , , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,PTYCHADENIDAE,Ptychadena,LC,false,true,true,35.86474781,55.70823738
7,57340,Telmatobius hauthali,1,1,1,Kelsey Neam,2018,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.", , , , , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,TELMATOBIIDAE,Telmatobius,EN,false,false,true,0.392397156,0.009083071
8,190914,Anodonthyla pollicaris,1,1,1,Philip Bowles,2012,IUCN (International Union for Conservation of Nature) and Conservation International., , ,"Vences et al., 2010", , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,MICROHYLIDAE,Anodonthyla,DD,false,true,true,1.348121559,0.063930533
9,55883,Plectrohyla pycnochila,4,1,1,"IUCN, Paulina Arias Caballero-CONABIO",2019,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe, CONABIO (Comisión Nacional para el Conocimiento y Uso de la Biodiversidad)", , , , , , ,0,Possibly Extinct,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYLIDAE,Plectrohyla,CR,false,true,true,0.177293423,0.002501292
10,89186860,Cardioglossa nigromaculata,1,1,1,IUCN,2016,IUCN (International Union for Conservation of Nature) & Conservation International., , , , , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,ARTHROLEPTIDAE,Cardioglossa,LC,false,true,true,9.694854185,3.229945199
11,55177,Andinobates bombetes,1,1,1,IUCN,2017,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.", , , , , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,DENDROBATIDAE,Andinobates,VU,false,true,false,2.014825715,0.043028361
12,55177,Andinobates bombetes,1,1,1,Louise Hobin,2017,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.", , , , , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,DENDROBATIDAE,Andinobates,VU,false,true,false,0.406166996,0.003404312
13,55696,Dryophytes wrightorum,1,1,1,Nieves Garcia,2021,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.", , ,"U.S. Geological Survey - Gap Analysis Project, 2017, Arizona Treefrog (Hyla wrightorum) aAZTRx_CONUS_2001v1 Range Map, http://doi.org/10.5066/F7KS6QKD.", , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYLIDAE,Dryophytes,LC,false,true,true,49.07986011,10.91290398
14,55696,Dryophytes wrightorum,1,1,1,Nieves Garcia,2021,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.", , , , , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYLIDAE,Dryophytes,LC,false,true,true,0.106522388,0.000902965
15,55696,Dryophytes wrightorum,1,1,1,Nieves Garcia,2021,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.", , ,amphibiaweb 2021, ,"Here recognized as distinct from Hyla eximia (Duellman, 2001).", ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYLIDAE,Dryophytes,LC,false,true,true,62.72402121,36.73301003
16,56226,Kassina cassinoides,1,1,1,Evie J Morris,2013,"IUCN (International Union for Conservation of Nature), Conservation International.", , , , , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYPEROLIIDAE,Kassina,LC,false,true,true,66.30043033,131.8912898
17,57121,Leptodactylus didymus,1,1,1,IUCN,2008,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.", , , , , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,LEPTODACTYLIDAE,Leptodactylus,LC,false,true,true,22.22898241,10.86398517
18,58998,Rhacophorus hoanglienensis,1,1,1,Timothy Cutajar,2020,IUCN (International Union for Conservation of Nature) & Conservation International, , , , , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RHACOPHORIDAE,Rhacophorus,LC,false,true,true,25.54017245,0.503151229
19,58998,Rhacophorus hoanglienensis,3,1,1,Timothy Cutajar,2020,IUCN (International Union for Conservation of Nature) & Conservation International, , , , , , ,0,Possibly Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RHACOPHORIDAE,Rhacophorus,LC,false,true,true,99.76494224,2.080036061
20,57930,Oreophryne sibilans,1,1,1,IUCN,2019,IUCN (International Union for Conservation of Nature) & Conservation International, , , , , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,MICROHYLIDAE,Oreophryne,DD,false,true,false,0.052506694,0.000219304
21,57208,Niceforonia fallaciosa,1,1,1,Kelsey Neam,2017,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe", , , , , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Niceforonia,DD,false,true,false,0.530586045,0.012294343
22,57208,Niceforonia fallaciosa,1,1,1,Steve Best,2017,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe", , , , , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Niceforonia,DD,false,true,false,0.264602104,0.005571417
23,57118,Leptodactylus chaquensis,1,1,1,IUCN,2008,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.", , , , , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,LEPTODACTYLIDAE,Leptodactylus,LC,false,true,true,86.56501808,175.4982217
24,57060,Craugastor xucanebi,1,1,1,Kelsey Neam,2019,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe", , , , , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Craugastor,VU,false,true,false,7.145242875,0.814292038
25,57296,Proceratophrys boiei,1,1,1,IUCN,2008,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.", , , , , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,ODONTOPHRYNIDAE,Proceratophrys,LC,false,true,true,79.71772575,55.4541466
26,57624,Leptobrachium ailaonicum,1,1,1,IUCN,2008,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.", , , , , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,MEGOPHRYIDAE,Leptobrachium,NT,false,true,true,4.556978094,1.21606174
27,54747,Sclerophrys regularis,1,1,1,IUCN,2014,IUCN (International Union for Conservation of Nature) & Conservation International., , , , , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,BUFONIDAE,Sclerophrys,LC,false,true,true,282.3394545,616.4790398
28,54747,Sclerophrys regularis,1,3,1,IUCN,2014,IUCN (International Union for Conservation of Nature) & Conservation International., , , , , , ,0,Extant & Introduced (resident),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,BUFONIDAE,Sclerophrys,LC,false,true,true,8.424014692,0.33800681
29,58730,Hylarana taipehensis,1,1,1,IUCN,2008,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.", , , , , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RANIDAE,Hylarana,LC,false,true,true,136.2133521,99.41897599
30,56085,Afrixalus weidholzi,1,1,1,Evie J Morris,2013,"IUCN (International Union for Conservation of Nature), Conservation International.", , , , , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYPEROLIIDAE,Afrixalus,LC,false,true,true,117.4539648,177.4947107
31,56112,Hyperolius argus,1,1,1,Evie J Morris,2013,"IUCN (International Union for Conservation of Nature), Conservation International.", , , , , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYPEROLIIDAE,Hyperolius,LC,false,true,true,108.535355,60.53439238
32,135729,Pristimantis culatensis,1,1,1,Kelsey Neam,2020,IUCN (International Union for Conservation of Nature), , , , , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,EN,false,true,false,0.745055209,0.026867065
33,17626,Plethodon neomexicanus,1,1,1,IUCN,2008,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.", , ,"Blackburn et al., 2001", , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,CAUDATA,PLETHODONTIDAE,Plethodon,NT,false,true,false,2.171437024,0.375209295
34,61782,Litoria jungguy,1,1,1,IUCN,2008,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.", , ,"Donnellan and Mahony, 2004", , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,PELODRYADIDAE,Litoria,NT,false,true,true,6.531654333,0.895139541
35,59652,Scolecomorphus uluguruensis,1,1,1,Jennifer Luedtke,2015,International Union for Conservation of Nature (IUCN), , , , , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,GYMNOPHIONA,SCOLECOMORPHIDAE,Scolecomorphus,EN,false,true,false,1.604099717,0.020023046
36,57101,Hylodes regius,1,1,1,IUCN,2008,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.", , , , , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYLODIDAE,Hylodes,DD,false,true,true,1.667441334,0.111680683
37,41061,Uperoleia talpa,1,1,1,IUCN,2008,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.", , , , , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,MYOBATRACHIDAE,Uperoleia,LC,false,true,true,13.06691863,4.219589988
38,58383,Micrixalus phyllophilus,1,1,1,IUCN,2008,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.", , , , , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,MICRIXALIDAE,Micrixalus,VU,false,true,true,4.025172324,0.384855208
39,57767,Choerophryne proboscidea,1,1,1,Louise Hobin,2019,IUCN (International Union for Conservation of Nature) & Conservation International, , , , , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,MICROHYLIDAE,Choerophryne,LC,false,true,false,21.05596951,2.71537722
40,58648,Odorrana lungshengensis,1,1,1,Louise Hobin,2019,IUCN (International Union for Conservation of Nature) & Conservation International, , , , , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RANIDAE,Odorrana,LC,false,true,true,17.48212875,6.015340998
41,54952,Nymphargus chami,1,1,1,Kelsey Neam,2018,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.", , , , , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,CENTROLENIDAE,Nymphargus,NT,false,true,true,7.56609777,0.456522427
42,55961,Scinax hayii,1,1,1,IUCN,2008,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.", , , , , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYLIDAE,Scinax,LC,false,true,true,36.88758195,15.86521762
43,57929,Oreophryne rookmaakeri,1,1,1,Louise Hobin,2017,IUCN (International Union for Conservation of Nature) & Conservation International., , , , , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,MICROHYLIDAE,Oreophryne,EN,false,true,false,2.082426381,0.16158396
44,57929,Oreophryne rookmaakeri,6,1,1,Louise Hobin,2017,IUCN (International Union for Conservation of Nature) & Conservation International., , , , , , ,0,Presence Uncertain,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,MICROHYLIDAE,Oreophryne,EN,false,true,false,3.881627261,0.303240509
45,56635,Ischnocnema gualteri,1,1,1,IUCN,2008,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.", , , , , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,BRACHYCEPHALIDAE,Ischnocnema,LC,false,true,false,1.294872497,0.091182884
46,136095,Cycloramphus faustoi,1,1,1,IUCN,2008,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.", , , , , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,CYCLORAMPHIDAE,Cycloramphus,CR,false,true,false,0.123160116,0.00108705
47,58057,Arthroleptella bicolor,1,1,1,Evie J Morris,2013,"IUCN (International Union for Conservation of Nature), Conservation International.", , , , , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,PYXICEPHALIDAE,Arthroleptella,LC,false,true,true,3.076828278,0.198360074
48,56784,Ischnocnema nasuta,1,1,1,IUCN,2008,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.", , , , , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,BRACHYCEPHALIDAE,Ischnocnema,LC,false,true,false,37.81314146,54.2562403
49,55758,Litoria vocivincens,1,1,1,IUCN,2019,IUCN (International Union for Conservation of Nature) & Conservation International, , , , , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,PELODRYADIDAE,Litoria,LC,false,true,true,18.80632986,2.376401745
50,61816,Pristimantis pirrensis,1,1,1,Kelsey Neam,2019,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe", , , , , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,NT,false,true,false,0.560789217,0.010492689
51,55107,Epipedobates machalilla,1,1,1,Kelsey Neam,2018,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.", , , , , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,DENDROBATIDAE,Epipedobates,LC,false,true,true,14.34702078,3.011131176
52,59522,Caecilia occidentalis,1,1,1,Kelsey Neam,2018,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.", , , , , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,GYMNOPHIONA,CAECILIIDAE,Caecilia,NT,false,true,false,2.979500575,0.164807613
53,56500,Pristimantis celator,1,1,1,Kelsey Neam,2018,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.", , , , , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,VU,false,true,false,5.567209528,0.32203359
54,59477,Triturus marmoratus,1,2,1,IUCN,2009,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.", , , , , , ,0,Extant & Reintroduced (resident),ANIMALIA,CHORDATA,AMPHIBIA,CAUDATA,SALAMANDRIDAE,Triturus,LC,false,true,true,0.17180606,0.00234535
55,59477,Triturus marmoratus,1,1,1,IUCN,2009,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.", , , , , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,CAUDATA,SALAMANDRIDAE,Triturus,LC,false,true,true,86.34580387,53.72797135
56,57501,Gephyromantis malagasius,1,1,1,IUCN,2015,International Union for Conservation of Nature (IUCN), , , , , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,MANTELLIDAE,Gephyromantis,LC,false,true,false,17.42553552,5.314831887
57,190944,Anodonthyla vallani,1,1,1,Louise Hobin,2016,International Union for Conservation of Nature (IUCN), , ,protectedplanet.net, , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,MICROHYLIDAE,Anodonthyla,CR,false,true,true,0.281833182,0.001735324
58,54826,Melanophryniscus pachyrhynus,1,1,1,IUCN,2008,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.", , , , , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,BUFONIDAE,Melanophryniscus,DD,false,true,true,0.327139732,0.008516197
59,57995,Scaphiophryne boribory,1,1,1,Louise Hobin,2016,IUCN (International Union for Conservation of Nature) & Conservation International., , , , , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,MICROHYLIDAE,Scaphiophryne,VU,false,true,true,1.181988229,0.061266701
60,57995,Scaphiophryne boribory,1,1,1,IUCN,2016,IUCN (International Union for Conservation of Nature) & Conservation International., , , , , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,MICROHYLIDAE,Scaphiophryne,VU,false,true,true,0.820134011,0.031810659
61,54427,Leptodactylodon axillaris,1,1,1,IUCN,2012,IUCN (International Union for Conservation of Nature) and Conservation International., , , , , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,ARTHROLEPTIDAE,Leptodactylodon,CR,false,true,true,0.284449745,0.006036749
62,58426,Allopaa hazarensis,1,1,1,IUCN,2008,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.", , , , , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,DICROGLOSSIDAE,Allopaa,LC,false,true,true,7.639678166,4.123179818
63,57911,Oreophryne crucifer,1,1,1,Louise Hobin,2019,IUCN (International Union for Conservation of Nature) & Conservation International, , , , , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,MICROHYLIDAE,Oreophryne,LC,false,true,false,7.261755987,0.133392709
64,56738,Pristimantis maculosus,1,1,1,IUCN and Louise Hobin,2016,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.", , , , , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,VU,false,true,false,0.481129011,0.008283723
65,56738,Pristimantis maculosus,1,1,1,Kelsey Neam,2017,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.", , , , , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,VU,false,true,false,0.608580612,0.008733758
66,56738,Pristimantis maculosus,1,1,1,IUCN,2016,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.", , , , , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,VU,false,true,false,0.677672776,0.01472872
67,78922642,Glandirana susurra,1,1,1,Janice Chanson,2020,IUCN (International Union for Conservation of Nature), , ,Sekiya et al 2012, , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RANIDAE,Glandirana,EN,false,true,true,0.810891107,0.014670902
68,186159,Raorchestes chlorosomma,1,1,1,Aina Pascual Cuadras,2011,IUCN (International Union for Conservation of Nature) and Conservation International., , ,"Biju and Bossuyt, 2009", , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RHACOPHORIDAE,Raorchestes,CR,false,true,false,0.227376251,0.002056716
69,79076602,Leptobrachella dringi,1,1,1,Louise Hobin,2018,IUCN (International Union for Conservation of Nature) & Conservation International., , , , , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,MEGOPHRYIDAE,Leptobrachella,LC,false,true,true,30.2345343,13.5104413
70,135993,Melanophryniscus admirabilis,1,1,1,Ariadne Angulo,2014,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.", , , , , , ,1,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,BUFONIDAE,Melanophryniscus,CR,false,true,true,0.14129745,0.000900018
71,56435,Pristimantis atrabracus,1,1,1,Steve Best,2017,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe", , , , , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,DD,false,true,false,0.100219607,0.000799244
72,58050,Pseudophryne raveni,1,1,1,IUCN,2008,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.", , , , , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,MYOBATRACHIDAE,Pseudophryne,LC,false,true,true,36.52263435,6.345273318
73,87736069,Pristimantis hoogmoedi,1,1,1,Grisel Velasquez and Margarita Lampo,2020,IUCN (International Union for the Conservation of Nature), , , , , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,CR,false,true,true,1.41935607,0.004400965
74,175371,Phrynobatrachus intermedius,1,1,1,Marcelo Tognelli,2010,IUCN (International Union for Conservation of Nature) and Conservation International., , , , , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,PHRYNOBATRACHIDAE,Phrynobatrachus,CR,false,true,true,0.226020516,0.002032551
75,57325,Telmatobius atahualpai,1,1,1,Kelsey Neam,2017,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.", , , , , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,TELMATOBIIDAE,Telmatobius,VU,false,true,true,4.000716212,0.482491885
76,113887829,Mantophryne insignis,1,1,1,Louise Hobin,2019,IUCN (International Union for Conservation of Nature) & Conservation International, , , , , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,MICROHYLIDAE,Mantophryne,VU,false,true,false,2.310670178,0.071267703
77,58500,Ptychadena filwoha,1,1,1,Aina Pascual Cuadras,2012,IUCN (International Union for Conservation of Nature) and Conservation International., , , , , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,PTYCHADENIDAE,Ptychadena,DD,false,true,true,0.627922969,0.010969721
78,21283,Tachycnemis seychellensis,1,1,1,Evie J Morris,2013,"IUCN (International Union for Conservation of Nature), Conservation International.", , , , , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYPEROLIIDAE,Tachycnemis,LC,false,true,true,1.132657851,0.014699254
79,55898,Pseudacris streckeri,1,1,1,IUCN,2014,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.", , ,"Blackburn et al., 2001", , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYLIDAE,Pseudacris,LC,false,true,true,100.857846,53.0131455
80,85628040,Rhombophryne longicrus,1,1,1,Mark D. Scherz,2015,International Union for Conservation of Nature (IUCN), , , , , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,MICROHYLIDAE,Rhombophryne,EN,false,true,false,1.3223428,0.031985895
81,55512,Dryophytes immaculatus,1,1,1,IUCN,2008,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.", , , , , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYLIDAE,Dryophytes,LC,false,true,true,70.67560239,87.33571406
82,57119,Leptodactylus colombiensis,1,1,1,Nieves Garcia,2020,IUCN (International Union for Conservation of Nature) and Conservation International, , , , , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,LEPTODACTYLIDAE,Leptodactylus,LC,false,true,false,49.3653045,11.30713272
83,57119,Leptodactylus colombiensis,6,1,1,Nieves Garcia,2020,IUCN (International Union for Conservation of Nature) and Conservation International, , , , , , ,0,Presence Uncertain,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,LEPTODACTYLIDAE,Leptodactylus,LC,false,true,false,0.101904281,0.000819486
84,57447,Mantella manery,1,1,1,Louise Hobin,2015,IUCN (International Union for Conservation of Nature) & Conservation International., , , , , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,MANTELLIDAE,Mantella,VU,false,true,true,0.491164084,0.004647701
85,57590,Oreolalax jingdongensis,1,1,1,Lauren Warr,2019,IUCN (International Union for Conservation of Nature) & Conservation International, , , , , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,MEGOPHRYIDAE,Oreolalax,VU,false,true,true,4.774007843,1.463113448
86,59605,Ichthyophis paucidentulus,1,1,1,Kelsey Neam,2017,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe", , , , , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,GYMNOPHIONA,ICHTHYOPHIIDAE,Ichthyophis,DD,false,true,true,0.763730095,0.040333766
87,55143,Hyloxalus ruizi,1,1,1,IUCN,2017,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.", , , , , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,DENDROBATIDAE,Hyloxalus,CR,false,true,true,0.287331125,0.006569684
88,58365,Limnonectes rhacodus,1,1,1,Kelsey Neam,2018,IUCN (International Union for Conservation of Nature) & Conservation International, , , , , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,DICROGLOSSIDAE,Limnonectes,LC,false,true,true,17.44448025,2.996155129
89,58365,Limnonectes rhacodus,1,1,1,IUCN,2018,IUCN (International Union for Conservation of Nature) & Conservation International, , , , , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,DICROGLOSSIDAE,Limnonectes,LC,false,true,true,4.17545414,0.499466792
90,76317554,Copiula annanoreenae,1,1,1,Louise Hobin,2019,IUCN (International Union for Conservation of Nature) & Conservation International, , , , , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,MICROHYLIDAE,Copiula,LC,false,true,false,0.100209889,0.000799089
91,55038,Allobates femoralis,1,1,1,IUCN,2009,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.", , , , , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,AROMOBATIDAE,Allobates,LC,false,true,true,169.5768445,458.2459893
