OBJECTID,id_no,binomial,orig_area_km2
142,43912,Alouatta discolor,375736.4587567455
143,39916,Alouatta guariba,940910.1181078857
144,922,Alouatta juara,2337203.928254596
145,40642,Alouatta macconnelli,1761102.844339801
146,136332,Alouatta nigerrima,236116.00973494761
147,39960,Alouatta palliata,549363.06537702947
148,914,Alouatta pigra,246719.00421833491
149,136787,Alouatta puruensis,1044786.728398076
150,41546,Alouatta sara,341394.82263064088
151,70547436,Alouatta seniculus,2267628.7671432239
152,918,Alouatta ululata,99442.849651357174
153,948,Alticola albicaudus,80162.81676815523
154,949,Alticola argentatus,1380712.6561384201
155,950,Alticola barakshin,225996.05238822071
156,951,Alticola lemminus,2068145.3912542779
157,952,Alticola macrotis,379231.70438007388
158,953,Alticola montosa,19531.493196661111
159,136648,Alticola olchonensis,1348.2958474155259
160,954,Alticola roylei,38455.129366280788
161,955,Alticola semicanus,671214.02538191457
162,956,Alticola stoliczkanus,2305720.152308044
163,958,Alticola strelzowi,441283.78005748207
164,959,Alticola tuvinicus,134541.08862276541
165,62006,Amblysomus corriae,50638.373959892597
166,41316,Amblysomus hottentotus,212499.71450193421
167,62007,Amblysomus marleyi,1402.699844549272
168,62008,Amblysomus robustus,1734.9553078736669
169,62009,Amblysomus septentrionalis,33033.282466158707
170,1137,Ametrida centurio,5765203.2368425149
171,1140,Ammodillus imbellis,210245.46028704691
172,1141,Ammodorcas clarkei,93566.068059180354
173,42399,Ammospermophilus harrisii,269488.66019540012
174,42451,Ammospermophilus interpres,312454.01155800838
175,42452,Ammospermophilus leucurus,990908.68226474663
176,1149,Ammospermophilus nelsoni,16430.9687859839
177,1151,Ammotragus lervia,1416975.4214242089
178,1154,Amorphochilus schnablii,178596.50363666299
179,136723,Amphinectomys savamis,20833.088138918029
180,39593,Anathana ellioti,1366025.4515525179
181,1264,Andalgalomys olrogi,57113.665806880323
182,1265,Andalgalomys pearsoni,139014.81254726581
183,1271,Andinomys edax,228612.35270637041
184,1307,Anisomys imitator,181683.15292251491
185,44857,Anomalurus beecrofti,3245215.369795097
186,1550,Anomalurus derbianus,5752691.6890079286
187,1551,Anomalurus pelii,242870.14185351739
188,1553,Anomalurus pusillus,573137.81819414976
189,1559,Anonymomys mindorensis,594.22959271731258
190,1564,Anotomys leander,12508.177309804791
191,88109381,Anoura aequatoris,528072.84936963813
192,88109476,Anoura cadenai,16033.954437331289
193,88108473,Anoura caudifer,5938676.738493572
194,1566,Anoura cultrata,757492.55188921199
195,136239,Anoura fistulata,77115.327102297786
196,88109511,Anoura geoffroyi,8205711.0410124967
197,1568,Anoura latidens,710045.85406522581
198,1569,Anoura luismanueli,80297.860578368622
199,88109497,Anoura peruana,1197060.884117624
200,136802,Anourosorex assamensis,17604.502857521758
201,136589,Anourosorex schmidi,7900.2482310615687
202,41450,Anourosorex squamipes,1188964.753773845
203,136257,Anourosorex yamashinai,34157.028180875597
204,1581,Antechinomys laniger,2438320.5376717909
205,136555,Antechinus adustus,4919.9240843709376
206,1590,Antechinus agilis,163702.25385349791
207,40523,Antechinus bellus,20577.833599929629
208,40524,Antechinus flavipes,1008879.493922807
209,1583,Antechinus godmani,3599.4824681262762
210,1584,Antechinus leo,4393.222485389002
211,40525,Antechinus minimus,76277.778557499216
212,40526,Antechinus stuartii,118342.4077498711
213,136755,Antechinus subtropicus,9617.6264851683263
214,41508,Antechinus swainsonii,314336.3636663325
215,1620,Anthops ornatus,21294.84889809876
216,1676,Antidorcas marsupialis,1950021.8982766529
217,1677,Antilocapra americana,2007723.829161
218,1681,Antilope cervicapra,1753997.860221355
219,1790,Antrozous pallidus,4367058.0650762813
220,1793,Aonyx capensis,11816858.156286079
221,44166,Aonyx cinereus,4792951.9720211225
222,1794,Aonyx congicus,2924367.397407454
223,41539,Aotus azarae,3156352.1533512771
224,39915,Aotus brumbacki,123963.49387126901
225,1807,Aotus griseimembra,234087.8375038098
