OBJECTID,id_no,binomial,Shape_Length,Shape_Area,original_area_km2
93,12143,Litoria aurea,85.54767757,17.5348954,178206.7151
94,12144,Litoria brevipalmata,42.50708171,6.682919328,72349.88523
95,12145,Litoria castanea,6.176128183,0.842397399,8519.218866
96,12146,Litoria dentata,38.89278198,12.0507239,128808.9928
97,12147,Litoria lesueurii,24.60074836,10.52508915,105159.0465
98,12148,Litoria nannotis,10.8486327,1.61304257,18951.45075
99,12149,Litoria nyakalensis,7.206531723,0.987503602,11613.40351
100,12150,Litoria pearsoniana,13.59691155,3.359823338,36575.80322
101,12151,Litoria piperata,3.343095842,0.469283008,5020.258476
102,12152,Litoria raniformis,171.7004931,73.26445609,708854.8486
103,12153,Litoria rheocola,8.646951859,1.287781763,15160.965
104,12154,Litoria spenceri,6.343527982,1.678043665,16579.34811
105,12155,Litoria verreauxii,68.24266019,23.06335118,236061.5716
106,12156,Litoria lorica,1.80861516,0.099750178,1179.669011
107,12776,Mantella aurantiaca,0.18320322,0.000890245,10.39003316
108,13032,Melanobatrachus indicus,1.279186688,0.037949693,460.6130562
109,13198,Mertensiella caucasica,13.82514565,2.650611895,24728.14127
110,13318,Microbatrachella capensis,1.157473505,0.01184145,120.9199696
111,13595,Mixophyes balbus,42.40678931,10.65923845,110293.3298
112,13596,Mixophyes fasciolatus,68.0008144,19.49266851,213464.4062
113,13597,Mixophyes fleayi,5.542741515,1.535380862,16768.91182
114,13598,Mixophyes iteratus,38.57424028,9.878165506,105681.4555
115,14663,Sooglossus thomasseti,0.364162587,0.001781381,21.85730064
116,14734,Neurergus crocatus,4.269386349,1.36478325,13421.49864
117,14735,Neurergus strauchii,10.82018035,1.806517511,17492.39667
118,14872,Notophthalmus perstriatus,19.31564391,5.657604229,60097.40839
119,14969,Litoria dayi,10.62989726,1.600239231,18805.92667
120,16129,Paramesotriton deloustali,141.5012966,3.158240163,35966.66116
121,16190,Paratelmatobius gaigeae,0.313297242,0.007810741,88.82181927
122,16191,Paratelmatobius lutzii,0.299955787,0.00715968,81.66937785
123,16469,Pedostibes kempi,0.083451466,0.000554175,6.171756316
124,16470,Pedostibes tuberculosus,2.645732215,0.135861094,1641.060704
125,16498,Pelobates fuscus,319.5311417,588.5481933,4501496.233
126,16801,Phaeognathus hubrichti,3.304078173,0.091604481,963.5575349
127,16997,Philoria frosti,0.456714625,0.010565827,103.2419253
128,17078,Phrynomedusa fimbriata,0.358698932,0.010238569,115.6785699
129,17518,Cornufer vitianus,13.06556647,0.841779974,9910.795752
130,17519,Platymantis insulatus,0.206610522,0.000708286,8.544781235
131,17520,Platymantis spelaeus,1.411665846,0.132350233,1606.701807
132,17524,Platymantis banahao,0.388902485,0.009818352,117.3245275
133,17528,Platymantis cornutus,13.70721765,1.382969047,16284.47591
134,17534,Platymantis hazelae,2.773449363,0.19351073,2345.97936
135,17537,Platymantis levigatus,3.059086548,0.101927576,1226.040361
136,17546,Platymantis negrosensis,3.384227285,0.167862072,2035.69834
137,17548,Platymantis panayensis,2.622389371,0.147268547,1778.316873
138,17551,Platymantis polillensis,7.833432845,0.462905535,5474.630583
139,17553,Platymantis rabori,9.063440907,0.574097713,6969.662138
140,17558,Platymantis subterrestris,2.680285662,0.28022111,3306.268165
141,17625,Plethodon larselli,15.29030447,1.821890862,15721.05101
142,17626,Plethodon neomexicanus,2.171437024,0.375209295,3756.932875
143,17627,Plethodon nettingi,2.499885727,0.133394714,1285.828073
144,17628,Plethodon stormi,2.028028466,0.229573337,2114.325598
145,17629,Plethodon shenandoah,0.563613839,0.025277982,244.5484771
146,17630,Plethodon caddoensis,1.794010733,0.07396407,754.2812913
147,17631,Plethodon fourchensis,0.935472061,0.019392393,197.1451772
148,17632,Plethodon hubrichti,0.281069782,0.005019803,49.25842361
149,17633,Plethodon ouachitae,2.939804222,0.113533235,1154.117716
150,18377,Proteus anguinus,17.96507442,4.024089494,35530.52419
151,18581,Pseudophryne bibronii,113.4105214,64.23062965,668103.3259
152,18582,Pseudophryne corroboree,1.805298154,0.108149526,1079.445638
153,18583,Pseudophryne australis,15.9727365,1.697619259,17472.27324
154,19148,Lithobates fisheri,0.350989874,0.00980321,97.89555568
155,19156,Rana latastei,20.75663046,3.901868159,33894.5376
156,19168,Babina holsti,0.81191977,0.022736233,250.7127115
157,19172,Babina subaspera,3.702331712,0.072163886,784.5524339
158,19175,Rana boylii,83.59560667,20.63918236,195244.8312
159,19176,Rana cascadae,78.15720603,13.06437935,113888.4459
160,19177,Rana muscosa,10.45019347,1.598194246,16105.89403
161,19178,Lithobates onca,5.977170127,1.088761483,10778.61463
162,19179,Rana pretiosa,33.74453613,7.074364501,62529.57319
163,19180,Lithobates subaquavocalis,0.514367593,0.021053597,221.9334004
164,19181,Lithobates yavapaiensis,49.07564113,23.50016126,242882.0993
165,19182,Lithobates tlaloci,1.37738081,0.085802745,997.8235559
166,19183,Rana pyrenaica,4.170724011,0.245947851,2237.017933
167,19242,Pulchrana melanomenta,1.334443066,0.013385511,164.1823014
168,19304,Ranodon sibiricus,5.596925394,1.836555603,16100.16703
169,19475,Rheobatrachus silus,1.378015323,0.126211128,1391.615664
170,19476,Rheobatrachus vitellinus,0.408593842,0.011339948,130.4972845
171,19513,Rhinoderma darwinii,61.54256657,9.585734675,88597.76175
172,19514,Rhinoderma rufum,10.1956634,2.373938036,23939.8132
173,19843,Salamandra atra,29.18089029,13.10271014,111209.8527
174,19845,Salamandra lanzai,1.334997601,0.086744915,761.2104467
175,20372,Pleurodema somuncurense,0.303530445,0.000189561,1.770666453
176,20380,Sechellophryne gardineri,0.500825204,0.002680999,32.89611274
177,20381,Sooglossus sechellensis,0.497974595,0.002333606,28.63440121
178,20454,Speleomantes ambrosii,2.241383229,0.117179015,1042.79964
179,20455,Speleomantes flavus,0.960980955,0.065366605,615.8277833
180,20456,Speleomantes genei,2.177893892,0.22468756,2152.332728
181,20457,Speleomantes imperialis,2.00524905,0.25136534,2388.017819
182,20458,Speleomantes italicus,9.655931836,1.96882832,17668.65599
183,20459,Speleomantes supramontis,1.167132972,0.065037255,615.2970769
184,21283,Tachycnemis seychellensis,1.132657854,0.014699254,180.3706856
185,21529,Taudactylus acutirostris,8.635011612,1.238862701,14582.00919
186,21530,Taudactylus diurnus,2.467237748,0.347205381,3822.39684
187,21531,Taudactylus eungellensis,0.658827919,0.029110102,334.8917573
188,21532,Taudactylus liemi,0.676538961,0.030585655,351.8588481
189,21533,Taudactylus pleione,0.421403863,0.011237618,126.1696027
190,21534,Taudactylus rheophilus,4.37212067,0.399568467,4713.904499
191,21581,Telmatobius atacamensis,0.45178141,0.003102426,34.90776855
192,21582,Telmatobius halli,0.386919511,0.011912979,137.0639606
193,21583,Telmatobius pefauri,0.334671276,0.008912838,104.3602377
194,21584,Telmatobius peruvianus,6.507960893,0.974680469,11498.01813
195,21585,Telmatobius zapahuirensis,0.334671276,0.008912838,104.3602377
196,21622,Telmatobufo australis,7.41202595,2.876193247,27158.36424
197,21623,Telmatobufo bullocki,2.308721392,0.272808311,2672.265414
198,21624,Telmatobufo venustus,8.047783709,1.624571505,16057.10305
199,21816,Thoropa lutzi,8.173225075,1.556217559,17814.69097
200,21817,Thoropa petropolitana,9.558848874,1.433163655,16307.99159
201,22212,Triturus cristatus,494.3026632,595.386349,4374960.565
202,22216,Triturus dobrogicus,38.6803177,31.70706695,272088.9013
203,22707,Eurycea spelaea,20.06604348,11.41243492,112964.8035
204,22742,Uperoleia marmorata,2.949965839,0.651418543,7715.440489
205,22743,Uperoleia orientalis,3.524600962,0.987020079,11561.95183
206,23124,Xenopus gilli,3.811653479,0.073524079,749.9690617
207,23900,Barbourula busuangensis,9.632356213,0.152216336,1842.907785
208,25382,Ichthyophis glandulosus,2.096889648,0.11836117,1447.37009
209,25390,Ichthyophis mindanaoensis,4.705165328,0.325446969,3972.182274
