OBJECTID,id_no,binomial,orig_area_km2,final_area_km2
105,1149,Ammospermophilus nelsoni,16430.9687859839,7641.3345728437007
106,1151,Ammotragus lervia,1416975.4214242089,132117.76638646939
107,1154,Amorphochilus schnablii,178596.50363666299,37089.360341030602
108,1264,Andalgalomys olrogi,57113.665806880323,43072.521949165253
109,1265,Andalgalomys pearsoni,139014.81254726581,134335.94881281329
110,1271,Andinomys edax,228612.35270637041,22577.52982398514
111,1307,Anisomys imitator,181683.15292251491,93.541141475463064
112,1550,Anomalurus derbianus,5752691.6890079286,597325.13295368257
113,1551,Anomalurus pelii,242870.14185351739,3571.214485673881
114,1553,Anomalurus pusillus,573137.81819414976,9782.5391520332287
115,1566,Anoura cultrata,757492.55188921199,16800.39347610726
116,1568,Anoura latidens,710045.85406522581,8563.4611750109798
117,1569,Anoura luismanueli,80297.860578368622,351.10463954582889
118,1581,Antechinomys laniger,2438320.5376717909,1011648.256134858
119,1583,Antechinus godmani,3599.4824681262762,71.224696897271556
120,1584,Antechinus leo,4393.222485389002,111.2579642809918
121,1587,Murexia naso,181093.46479417081,5361.8576432867849
122,1589,Murexia habbema,143836.80435428629,3.4642093741427962
123,1590,Antechinus agilis,163702.25385349791,7129.2382729761066
124,1591,Murexia melanurus,330737.81616615661,4620.1760392048927
125,1620,Anthops ornatus,21294.84889809876,472.52100088376181
126,1676,Antidorcas marsupialis,1950021.8982766529,231376.67610185541
127,1677,Antilocapra americana,2007723.829161,206822.22150113829
128,1681,Antilope cervicapra,1753997.860221355,527271.14006080886
129,1789,Bauerus dubiaquercus,265260.21891118411,42591.001760192878
130,1790,Antrozous pallidus,4367058.0650762813,847404.89656520053
131,1793,Aonyx capensis,11816858.156286079,1945334.05483952
132,1794,Aonyx congicus,2924367.397407454,177852.50688956119
133,1807,Aotus griseimembra,234087.8375038098,54387.261265975671
134,1808,Aotus lemurinus,177190.3625960745,423.01607319458719
135,1869,Aplodontia rufa,245492.80902232241,4103.0219323020901
136,1888,Apodemus agrarius,11531280.8650591,1705633.4546254659
137,1890,Apodemus chevrieri,720378.08758115408,3360.1270154989511
138,1891,Apodemus draco,1798388.0333212609,29330.851843177501
139,1892,Apodemus flavicollis,6066212.6074437136,431405.59875230782
140,1896,Apodemus hyrcanicus,48647.150034613856,16628.79353881428
141,1897,Apodemus latronum,536541.58257158205,13729.01731696919
142,1898,Apodemus mystacinus,804426.78841558308,45411.933945376659
143,1899,Apodemus peninsulae,8903703.1999584194,1021252.9454572439
144,1900,Apodemus ponticus,347709.03301245341,47134.568449605213
145,1901,Apodemus rusiges,112770.44935139061,126.7772609098177
146,1902,Apodemus semotus,33914.891926725482,4376.5674489282837
147,1903,Apodemus speciosus,368742.87358557357,17500.22736405543
148,1904,Apodemus sylvaticus,5002014.0566777252,465344.64786237571
149,1905,Apodemus uralensis,7231854.2484931815,1073053.5580609259
150,1906,Apodemus pallipes,783216.8451617891,25110.11630761018
151,1907,Apodemus alpicola,110807.9720836843,136.68956224162321
152,1910,Apomys datae,11591.282943615901,8.129221012855627
153,1911,Apomys hylocetes,4399.2812893304717,101.32602394889931
154,1912,Apomys insignis,94959.734554707713,3091.539991879547
155,1913,Apomys littoralis,7898.7582979411518,1140.7627674178391
156,1914,Apomys microdon,61955.850669689593,1215.4437633343889
157,1915,Apomys musculus,47773.897524240238,1425.664700250753
158,2017,Arborimus albipes,77761.758294879051,419.27909827979659
159,2018,Arborimus pomo,22003.1629651072,291.56852018865578
160,2053,Arctocebus aureus,667480.6946894367,66222.75570567367
161,2054,Arctocebus calabarensis,148435.3787948793,21687.60565060758
162,2055,Arctocephalus australis,1900107.6529733129,1769407.158645022
163,2058,Arctocephalus gazella,17528906.099554311,964430.62201775552
164,2059,Arctocephalus philippii,3809717.3567815688,371507.45326902461
165,2060,Arctocephalus pusillus,1100667.600900362,923701.78668381355
166,2061,Arctocephalus townsendi,1298452.8864478499,103828.0824255815
167,2062,Arctocephalus tropicalis,13411060.181328019,15196.229906405841
168,2089,Ardops nichollsi,4742.7077234777253,152.8506378185146
169,2110,Ariteus flavescens,11021.00862614367,366.43688799317221
170,2121,Artibeus amplus,1459809.2830802719,285051.58553414478
171,2122,Dermanura anderseni,4071910.9441284859,462963.55139495549
172,2123,Dermanura azteca,606563.95913952577,23245.125971926969
173,2124,Dermanura cinerea,4321762.0021664426,295823.74561204627
174,2125,Artibeus concolor,6437511.3110953448,350516.45891629742
175,2126,Artibeus fimbriatus,1483910.055881504,119302.4557147468
176,2127,Artibeus fraterculus,302098.64794279658,27038.187331535661
177,2129,Dermanura gnoma,10007849.376312111,1114328.9320989931
178,2130,Enchisthenes hartii,3104218.3543737,520063.13707396592
179,2131,Artibeus hirsutus,228807.5635723529,23851.034747029291
180,2132,Artibeus inopinatus,41133.134376531452,6655.0790403549381
181,2136,Artibeus lituratus,14234756.37010695,1610708.7631249379
182,2137,Artibeus obscurus,11122582.97947068,1033282.524424364
183,2139,Artibeus planirostris,7905573.3775893757,1014926.354532395
184,2140,Dermanura tolteca,849440.25262851245,60290.970350986041
185,2144,Arvicanthis abyssinicus,296089.06800926721,6462.59771639275
186,2146,Arvicanthis nairobae,151138.7967773414,9259.867120940622
187,2147,Arvicanthis niloticus,6182777.7736653136,1710036.2573597711
188,2148,Arvicanthis neumanni,1218456.0446088591,113060.0679811084
189,2149,Arvicola amphibius,15744507.378924711,1213225.3094629401
190,2150,Arvicola sapidus,882585.60042198398,17608.09871206979
191,2153,Asellia patrizii,227343.61525603899,20866.043821090851
192,2155,Aselliscus stoliczkanus,1362306.882958259,47541.789727178337
193,2156,Aselliscus tricuspidatus,274648.37101824151,11658.625532564
194,2274,Atelerix frontalis,1047867.558709097,115399.1572452564
195,2275,Atelerix sclateri,309002.56338817568,66419.145948283374
196,2276,Ateles belzebuth,815679.06741801312,50750.476350127108
197,2279,Ateles geoffroyi,901717.6785746566,158033.7388669842
198,2282,Ateles marginatus,524096.11746933009,21888.984676194879
199,2283,Ateles paniscus,918123.2213996402,21300.44905407586
200,2353,Atherurus africanus,3544210.0287213912,322239.79487652262
201,2354,Atherurus macrourus,2671848.7383271712,321635.45157910342
202,2358,Atlantoxerus getulus,303758.90564718732,25720.595533158161
203,2395,Auliscomys boliviensis,210616.3101259133,31520.908822045651
204,2396,Loxodontomys micropus,447668.69127324352,22611.17479077759
205,2397,Auliscomys pictus,309580.18676201691,17339.752106051761
206,2398,Auliscomys sublimis,393475.20257479971,75059.990558210498
207,2434,Avahi laniger,51920.906748178881,89.113028806882099
208,2446,Axis calamianensis,1345.3221836217331,26.250697701422201
209,2447,Axis kuhlii,63.797774914125817,2.8662607048246058
210,2461,Babyrousa babyrussa,13191.945271212249,163.91934729785919
211,2465,Baiomys musculus,450192.5554743933,21823.96785262891
212,2466,Baiomys taylori,1275218.304678886,238104.51130023369
213,2467,Balaena mysticetus,9201251.7600421701,6494894.1675033998
214,2474,Balaenoptera acutorostrata,346867348.42166692,53137895.044535428
215,2475,Balaenoptera borealis,316128554.5154314,42920901.88747187
216,2476,Balaenoptera edeni,224187969.38130131,31118070.86461775
217,2477,Balaenoptera musculus,343194635.59362429,50194867.012843966
218,2478,Balaenoptera physalus,206330511.4766928,32742440.061110418
219,2480,Balaenoptera bonaerensis,173675420.89281079,21969685.064850461
220,2531,Balantiopteryx infusca,2841.659153076831,192.48027182727219
221,2532,Balantiopteryx io,170580.08656531101,11141.74559280557
222,2533,Balantiopteryx plicata,824867.48502027465,93024.23367881641
223,2540,Bandicota bengalensis,4164220.3570213378,1402987.9636650321
224,2541,Bandicota indica,5515997.9031965341,1323950.282457175
225,2542,Bandicota savilei,866566.01756579056,215694.79750137549
226,2553,Barbastella barbastellus,3807517.3190038428,429172.40441259579
227,2613,Bassariscus sumichrasti,622171.48273177142,101527.55875241449
228,2619,Bathyergus janetta,12035.141387276641,1541.8482080997619
229,2620,Bathyergus suillus,44079.647657451897,1059.1071808676029
230,2643,Batomys salomonseni,16015.530991799789,169.20370953407331
231,2675,Bdeogale jacksoni,63953.08448680232,1791.224681756443
232,2676,Beamys hindei,337354.98118469951,39702.009532958538
233,2756,Belomys pearsonii,525683.29679996229,19175.506898149149
234,2762,Berardius arnuxii,105214742.9490032,12361588.70610033
235,2763,Berardius bairdii,22769893.146776769,5377707.523819007
236,2767,Berylmys berdmorei,660821.69966197677,78908.785908062782
237,2768,Berylmys bowersi,2558054.3263106602,85651.006610295575
238,2769,Berylmys mackenziei,101476.7689907982,2439.877025239779
239,2770,Berylmys manipulus,214079.49702221001,4331.8846526057032
240,2783,Bettongia gaimardi,29085.596956780209,121.1531550131108
241,2784,Bettongia lesueur,979.81754378527103,574.68532323626187
242,2785,Bettongia penicillata,4058.276974451901,50.155745339796468
243,2801,Bibimys chacoensis,27945.214292365112,5181.1397541184533
244,2802,Bibimys labiosus,361535.83343377413,87.414712021772829
245,2803,Bibimys torresi,12372.07157322953,12331.710112524061
246,2814,Bison bonasus,24303.58989205565,697.60395312982632
247,2815,Bison bison,140671.6179965724,1722.012690005824
248,2816,Biswamoyopterus biswasi,3760.5975048186888,127.8476799545751
249,2823,Blanfordimys afghanus,409947.7778067452,18260.30166717021
250,2824,Blanfordimys bucharensis,116179.6279034765,7328.7391800916994
251,2825,Blarinella wardi,114888.0557497117,318.09575540632028
252,2827,Blarinomys breviceps,437004.57263337559,2785.8150141547312
253,2828,Blastocerus dichotomus,4234154.1833575442,947074.32903862
254,2857,Necromys amoenus,164452.4281834084,14619.304919456201
255,2858,Necromys lactens,163776.93134036369,3379.1435533624349
256,2859,Necromys lasiurus,5616827.8121883422,827855.4348413354
257,2860,Necromys obscurus,45308.656644507442,21440.108320709071
258,2861,Necromys punctulatus,159675.5854210915,5017.2527244999474
259,2862,Necromys temchuki,104126.54629510151,89120.23830363169
260,2888,Bos javanicus,183622.92106534971,3466.169100807921
261,2891,Bos gaurus,1370056.9032730199,51753.37796704904
262,2892,Bos mutus,469488.60562441731,44076.131329757867
263,2893,Boselaphus tragocamelus,2289576.1168481591,736564.31852525997
264,2957,Brachiones przewalskii,861710.2075744071,629654.48946864682
265,2963,Brachylagus idahoensis,480339.95694928762,149795.79748017411
266,2982,Brachyphylla cavernarum,14907.71075815022,723.85139729170953
267,2983,Brachyphylla nana,195038.68531992621,57751.065349369383
268,2991,Brachytarsomys albicauda,64734.983131506262,68.705218664035797
269,2993,Brachyteles arachnoides,73235.200884733378,1729.894728485317
270,2994,Brachyteles hypoxanthus,96656.917210272746,113.0842915138314
271,2998,Brachyuromys ramirohitra,68443.717165729497,28.73165559760718
272,3036,Bradypus torquatus,75453.226963480789,3985.9747023446848
273,3037,Bradypus tridactylus,1042605.084320677,43663.783669413293
274,3038,Bradypus variegatus,9792465.7140950151,911688.9755965753
275,3126,Bubalus depressicornis,107246.6024007829,1080.2409460956869
276,3128,Bubalus quarlesi,70025.920402657634,494.04101898444759
277,3129,Bubalus arnee,13690.44492292406,2112.806456913836
278,3160,Budorcas taxicolor,440396.68840005068,6716.1689953895329
279,3322,Bullimus bagobus,118864.0514224073,3432.749914484893
280,3323,Bullimus luzonicus,38307.888112942092,755.91659408840076
281,3326,Bunolagus monticularis,45473.816536336482,389.29914908769217
282,3327,Bunomys andrewsi,117011.3368433111,6371.4985487686054
283,3328,Bunomys chrysocomus,169337.7529805353,6941.1386958520679
284,3330,Bunomys fratrorum,7086.7262503899192,55.097290671904901
285,3412,Cabassous centralis,753492.28344841872,108480.84174927929
286,3413,Cabassous chacoensis,478745.23432777252,452917.95931556763
287,3414,Cabassous tatouay,2538418.4951191121,159112.46946743701
288,3415,Cabassous unicinctus,9760783.1672809646,1007849.367124881
289,3416,Cacajao calvus,210952.147464838,22351.790743238242
290,3519,Calcochloris obtusirostris,115466.71932889659,56359.151551819712
291,3554,Plecturocebus olallae,677.041446990606,677.04144707610453
292,3555,Callicebus personatus,142975.5383461313,1906.1180336263481
293,3564,Callimico goeldii,602349.05296867818,49007.775712663788
294,3570,Callithrix aurita,159626.4397532678,4893.7966958430516
295,3572,Callithrix geoffroyi,124967.49042247669,3080.710210422566
296,3575,Callithrix kuhlii,45701.241264371332,530.19974909743519
297,3590,Callorhinus ursinus,16945223.827788569,4723593.1688187048
298,3591,Callosciurus adamsi,97682.509736024673,7692.2005842220033
299,3592,Callosciurus albescens,58797.888546151647,5923.1170413209293
300,3593,Callosciurus baluensis,51137.987718283737,3.5050087148593181
301,3594,Callosciurus caniceps,650694.85264687485,130554.7547200538
302,3595,Callosciurus erythraeus,4042541.0822175392,274741.17343671381
303,3596,Callosciurus finlaysonii,730178.2526316758,225282.1735186376
304,3597,Callosciurus inornatus,309641.99444539251,9127.2702370592961
305,3598,Callosciurus melanogaster,6004.4485083024092,316.08959693548189
306,3599,Callosciurus nigrovittatus,708578.75000877108,124592.8574854827
307,3600,Callosciurus notatus,1496325.77098378,232520.01112353621
308,3602,Callosciurus phayrei,153740.4705655181,6105.9622081010084
309,3603,Callosciurus prevostii,1334754.81026563,206447.00730055591
310,3604,Callosciurus pygerythrus,587612.90760384267,86909.489927515941
311,3609,Calomys boliviae,129669.8836380283,826.41408751889867
312,3610,Calomys callidus,55945.554653305051,52042.265925770509
313,3611,Calomys callosus,3145738.1906843111,1049617.8737213111
314,3612,Calomys hummelincki,312461.0212828528,149645.37921362999
315,3613,Calomys laucha,1437894.7429353329,925555.01253805577
316,3614,Calomys lepidus,584200.69597957667,89890.66485609021
317,3615,Calomys musculinus,2024395.736708086,1050521.26890459
318,3616,Calomys sorellus,244091.88844728351,7255.6072168291448
319,3617,Calomys tener,1710338.240105008,189419.1658528597
320,3618,Calomyscus bailwardi,185863.8562592252,37935.384354180918
321,3619,Calomyscus baluchi,426517.24962667288,24152.617109828421
322,3620,Calomyscus hotsoni,141119.71062893089,43097.120761326703
323,3621,Calomyscus mystax,208475.66337567661,44934.653867097928
324,3623,Calomyscus urartensis,4812.3634087833743,158.39347889513061
325,3648,Caluromys lanatus,5109628.1873221109,685267.30911534629
326,3649,Caluromys philander,3707265.8387689739,240637.944609534
327,3650,Caluromys derbianus,792242.46945319208,92918.248805485404
328,3651,Caluromysiops irrupta,182311.07487752181,9585.2123342211835
329,3745,Canis latrans,14907547.431993879,1235614.9554440279
330,3746,Canis lupus,56008826.261664473,8408100.5193503667
331,3747,Canis rufus,3120.7140146576971,2509.24370767144
332,3753,Canis adustus,10712941.134911669,1634781.0797056451
333,3755,Canis mesomelas,6453561.3065135526,1028019.610298313
334,3759,Cannomys badius,1043823.255198317,118828.220070993
335,3760,Cansumys canus,160979.17398186939,273.37045723111481
336,3778,Caperea marginata,72475361.409229726,8717499.1930631492
337,3786,Capra aegagrus,1214963.151718684,200893.34518710861
338,3796,Capra nubiana,342504.72707489692,16897.289552043931
339,3798,Capra pyrenaica,92675.469483343535,197.50604377386929
340,3810,Capricornis swinhoei,14412.35643214021,50.769456451721432
341,3811,Capricornis crispus,160080.93366592831,5649.4033620129094
342,3815,Capricornis rubidus,86341.743853438704,307.2737929625967
343,3833,Caprolagus hispidus,114647.7735299265,63631.654242516139
344,3842,Capromys pilorides,111094.5636584017,52855.382900245117
345,3847,Caracal caracal,17204814.219327781,4110238.637911181
346,3858,Cardiocranius paradoxus,1986120.716891747,816861.49125492258
347,3859,Cardioderma cor,2246028.610067321,475470.9560030867
348,3903,Carollia brevicauda,10748382.33001527,1170927.1406029779
349,3905,Carollia perspicillata,13795891.557856601,1695639.5799960219
350,3906,Carollia subrufa,212250.3100365281,22455.681522851559
351,3999,Casinycteris argynnis,1707536.481945528,161975.6078737702
352,4003,Castor canadensis,15707558.57225335,866346.08459383599
353,4007,Castor fiber,3573508.1621731911,106422.2201095513
354,4015,Catagonus wagneri,304457.23002642178,297432.66914276389
355,4037,Catopuma badia,268234.01615503029,10.81394443232157
356,4038,Catopuma temminckii,337442.1476005693,8635.9582222052377
357,4065,Cavia fulgida,684485.99441646133,11256.6814918412
358,4066,Cavia magna,104016.78962560619,39700.93945668159
359,4068,Cavia tschudii,810000.25755478488,51886.385698992417
360,4074,Sapajus xanthosternos,466598.2779224593,39081.501245972722
