OBJECTID,FID_modeled_reptiles,Binomial,Group,Area (km2)
125,192,Afronatrix anoscopus,snake,144730.3898
126,193,Afrotyphlops angolensis,snake,288566.1677
127,194,Afrotyphlops anomalus,snake,3125.446454
128,195,Afrotyphlops bibronii,snake,9375.235995
129,196,Afrotyphlops blanfordii,snake,13448.07138
130,197,Afrotyphlops brevis,snake,3036.328491
131,198,Afrotyphlops congestus,snake,203309.3092
132,199,Afrotyphlops decorosus,snake,0.087405645
133,201,Afrotyphlops fornasinii,snake,24722.21875
134,202,Afrotyphlops gierrai,snake,219.2135051
135,204,Afrotyphlops liberiensis,snake,2497.0452
136,205,Afrotyphlops lineolatus,snake,223583.7972
137,207,Afrotyphlops mucruso,snake,365758.9993
138,210,Afrotyphlops obtusus,snake,7129.506802
139,211,Afrotyphlops punctatus,snake,348848.627
140,212,Afrotyphlops rondoensis,snake,119.8246759
141,213,Afrotyphlops schlegelii,snake,266692.7257
142,214,Afrotyphlops schmidti,snake,160637.1923
143,215,Afrotyphlops steinhausi,snake,2368.337141
144,216,Afrotyphlops tanganicanus,snake,219.8530648
145,218,Agama aculeata,lizard,274241.4716
146,219,Agama africana,lizard,17600.13738
147,220,Agama agama,lizard,1713947.486
148,221,Agama anchietae,lizard,48597.37853
149,222,Agama armata,lizard,382830.3205
150,223,Agama atra,lizard,29464.28547
151,224,Agama bocourti,lizard,1206.352625
152,225,Agama boensis,lizard,548.7366167
153,227,Agama boueti,lizard,1175007.829
154,228,Agama boulengeri,lizard,147936.5802
155,229,Agama caudospinosa,lizard,554.6459109
156,230,Agama congica,lizard,2401.873914
157,231,Agama cristata,lizard,2105.637301
158,232,Agama doriae,lizard,512442.6396
159,233,Agama etoshae,lizard,51350.848
160,234,Agama finchi,lizard,8013.916861
161,235,Agama gracilimembris,lizard,253788.5283
162,236,Agama hartmanni,lizard,138110.3285
163,237,Agama hispida,lizard,10374.57597
164,239,Agama impalearis,lizard,129749.2001
165,240,Agama insularis,lizard,2638.75658
166,241,Agama kaimosae,lizard,1708.713282
167,242,Agama kirkii,lizard,73987.86347
168,243,Agama knobeli,lizard,24816.9689
